legacy_url,legacy_title,legacy_kind,legacy_section,legacy_words,legacy_images,our_url,our_title,section,entry_type,record_id,author,date,publication,has_byline_fields,our_images,body_cleaned,reviewed,reviewed_at,state
https://scvhistory.com/oldtownnewhall/newhall/2000powwow3.htm,"Hart of the West Powwow 2000: Head Dancers Nancy Garcia, Efrain Zazueta Jr.",article,oldtownnewhall/newhall,484,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/96parade.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/autry.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/bobbie.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/boydston070496.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/boyer0196.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/boyer1296.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/bradbury.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/carmen.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/city0997.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/crowell.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/dreamcatchers.htm,"Dream Catchers: Holding the Destiny of the Future",article,oldtownnewhall/newhall,655,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/freedman0795.htm,"Newhall Revitalization Strategy (Draft)",article,oldtownnewhall/newhall,1649,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/frew1296.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/funinc0997.htm,"Unique Gift Items At FUN Inc.",article,oldtownnewhall/newhall,548,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/heidt497.htm,"Trains To Stop In Old Town Newhall.",article,oldtownnewhall/newhall,491,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/hon1195.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/index.htm,,index,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/jstevens.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/lagasse.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/lwmelody.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/manzer497.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/melody297.htm,"Cowboy Crooners Coming To Melody Ranch.",article,oldtownnewhall/newhall,497,2,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/noel.htm,"Noel to Newhall - Christmas in Santa Clarita",other,oldtownnewhall/newhall,113,6,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/noel2.htm,"Noel to Newhall · Christmas in Santa Clarita",other,oldtownnewhall/newhall,112,6,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/oldtownnews.htm,,other,oldtownnewhall/newhall,0,0,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/otn-events.htm,"Coming Events",article,oldtownnewhall/newhall,608,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/oldtownnewhall/newhall/otn0801a.htm,"Old Town Newhall News: Summer 2001",article,oldtownnewhall/newhall,532,1,,,,,,,,,,,,no,,"no record"
